"種類","ことばA","ことばB","読みA","読みB","出題級","承認","確認日","メモ"
"対義語","増加","減少","ぞうか","げんしょう","6級から","","",""
"対義語","出席","欠席","しゅっせき","けっせき","6級から","","",""
"対義語","成功","失敗","せいこう","しっぱい","6級から","","",""
"対義語","平和","戦争","へいわ","せんそう","6級から","","",""
"対義語","原因","結果","げんいん","けっか","6級から","","",""
"対義語","生産","消費","せいさん","しょうひ","6級から","","",""
"対義語","収入","支出","しゅうにゅう","ししゅつ","5級から","","",""
"対義語","拡大","縮小","かくだい","しゅくしょう","5級から","","",""
"対義語","前進","後退","ぜんしん","こうたい","5級から","","",""
"対義語","質問","回答","しつもん","かいとう","6級から","","",""
"対義語","賛成","反対","さんせい","はんたい","6級から","","",""
"対義語","集合","解散","しゅうごう","かいさん","6級から","","",""
"対義語","過去","未来","かこ","みらい","6級から","","",""
"対義語","全体","部分","ぜんたい","ぶぶん","6級から","","",""
"対義語","直接","間接","ちょくせつ","かんせつ","6級から","","",""
"対義語","現実","理想","げんじつ","りそう","6級から","","",""
"対義語","安全","危険","あんぜん","きけん","5級から","","",""
"対義語","禁止","許可","きんし","きょか","6級から","","",""
"対義語","自然","人工","しぜん","じんこう","6級から","","",""
"対義語","有名","無名","ゆうめい","むめい","6級から","","",""
"対義語","最初","最後","さいしょ","さいご","6級から","","",""
"対義語","入学","卒業","にゅうがく","そつぎょう","6級から","","",""
"対義語","以前","以後","いぜん","いご","6級から","","",""
"対義語","長所","短所","ちょうしょ","たんしょ","6級から","","",""
"対義語","得意","苦手","とくい","にがて","6級から","","",""
"対義語","多数","少数","たすう","しょうすう","6級から","","",""
"対義語","中央","周辺","ちゅうおう","しゅうへん","6級から","","",""
"対義語","表面","裏面","ひょうめん","うらめん","5級から","","",""
"対義語","朝食","夕食","ちょうしょく","ゆうしょく","6級から","","",""
"対義語","精神","肉体","せいしん","にくたい","6級から","","",""
"対義語","主観","客観","しゅかん","きゃっかん","6級から","","",""
"対義語","原則","例外","げんそく","れいがい","6級から","","",""
"対義語","義務","権利","ぎむ","けんり","5級から","","",""
"対義語","延長","短縮","えんちょう","たんしゅく","5級から","","",""
"対義語","入場","退場","にゅうじょう","たいじょう","5級から","","",""
"対義語","開店","閉店","かいてん","へいてん","5級から","","",""
"対義語","公開","秘密","こうかい","ひみつ","5級から","","",""
"対義語","便利","不便","べんり","ふべん","6級から","","",""
"対義語","容易","困難","ようい","こんなん","5級から","","",""
"対義語","豊富","不足","ほうふ","ふそく","6級から","","",""
"対義語","完全","不完全","かんぜん","ふかんぜん","6級から","","",""
"対義語","就任","退職","しゅうにん","たいしょく","5級から","","",""
"対義語","温暖","寒冷","おんだん","かんれい","5級から","","",""
"対義語","単純","複雑","たんじゅん","ふくざつ","5級から","","",""
"対義語","国内","国外","こくない","こくがい","6級から","","",""
"類義語","用意","準備","ようい","じゅんび","6級から","","",""
"類義語","方法","手段","ほうほう","しゅだん","5級から","","",""
"類義語","心配","不安","しんぱい","ふあん","6級から","","",""
"類義語","進歩","向上","しんぽ","こうじょう","6級から","","",""
"類義語","永久","永遠","えいきゅう","えいえん","6級から","","",""
"類義語","発展","発達","はってん","はったつ","5級から","","",""
"類義語","改良","改善","かいりょう","かいぜん","5級から","","",""
"類義語","原因","理由","げんいん","りゆう","6級から","","",""
"類義語","家屋","住宅","かおく","じゅうたく","5級から","","",""
"類義語","刊行","出版","かんこう","しゅっぱん","6級から","","",""
"類義語","指図","指示","さしず","しじ","6級から","","",""
"類義語","不在","留守","ふざい","るす","6級から","","",""
"類義語","有名","著名","ゆうめい","ちょめい","5級から","","",""
"類義語","安全","無事","あんぜん","ぶじ","6級から","","",""
"類義語","希望","願望","きぼう","がんぼう","6級から","","",""
"類義語","決心","決意","けっしん","けつい","6級から","","",""
"類義語","賛成","同意","さんせい","どうい","6級から","","",""
"類義語","方角","方向","ほうがく","ほうこう","6級から","","",""
"類義語","建設","建築","けんせつ","けんちく","6級から","","",""
"類義語","自然","天然","しぜん","てんねん","6級から","","",""
"類義語","外見","外観","がいけん","がいかん","6級から","","",""
"類義語","価格","値段","かかく","ねだん","5級から","","",""
"類義語","応答","返事","おうとう","へんじ","6級から","","",""
"類義語","解答","回答","かいとう","かいとう","6級から","","",""
"類義語","特別","格別","とくべつ","かくべつ","6級から","","",""
"類義語","進歩","発展","しんぽ","はってん","5級から","","",""
"類義語","容易","簡単","ようい","かんたん","5級から","","",""
"類義語","中止","停止","ちゅうし","ていし","6級から","","",""
"類義語","長所","美点","ちょうしょ","びてん","6級から","","",""
"類義語","日常","平生","にちじょう","へいぜい","6級から","","",""
