"熟語","読み","構成","意味","出題級","承認","確認日","メモ"
"悪人","あくにん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"衣服","いふく","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"雨天","うてん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"永久","えいきゅう","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"円高","えんだか","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"遠近","えんきん","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"往復","おうふく","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"温水","おんすい","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"温暖","おんだん","イ","同じような意味の字を組み合わせたもの","5級から","","",""
"下山","げざん","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"価値","かち","イ","同じような意味の字を組み合わせたもの","5級から","","",""
"加熱","かねつ","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"家屋","かおく","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"河海","かかい","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"河川","かせん","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"会議","かいぎ","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"改名","かいめい","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"海水","かいすい","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"絵画","かいが","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"開会","かいかい","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"開店","かいてん","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"開閉","かいへい","ア","反対や対になる意味の字を組み合わせたもの","5級から","","",""
"開幕","かいまく","エ","下の字から上の字へ返って読むと意味がよくわかるもの","5級から","","",""
"寒暖","かんだん","ア","反対や対になる意味の字を組み合わせたもの","5級から","","",""
"寒冷","かんれい","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"岩石","がんせき","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"願望","がんぼう","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"希望","きぼう","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"帰国","きこく","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"記録","きろく","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"休職","きゅうしょく","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"休息","きゅうそく","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"急流","きゅうりゅう","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"救助","きゅうじょ","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"求人","きゅうじん","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"牛肉","ぎゅうにく","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"去来","きょらい","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"居住","きょじゅう","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"競争","きょうそう","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"強弱","きょうじゃく","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"強風","きょうふう","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"近所","きんじょ","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"銀貨","ぎんか","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"苦楽","くらく","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"軽重","けいちょう","ア","反対や対になる意味の字を組み合わせたもの","6級から","","",""
"建築","けんちく","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"減少","げんしょう","イ","同じような意味の字を組み合わせたもの","6級から","","",""
"古都","こと","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
"護身","ごしん","エ","下の字から上の字へ返って読むと意味がよくわかるもの","6級から","","",""
"公私","こうし","ア","反対や対になる意味の字を組み合わせたもの","5級から","","",""
"高音","こうおん","ウ","上の字が下の字の意味を説明（修飾）しているもの","6級から","","",""
