"漢字","学年","出題級","画数","音読み","訓読み（送り仮名）","熟語の例","部首の候補","部首のもとの字","部首名","部首の校正状態","同訓異字"
"一","1年","6級から","1","イチ・イツ","ひと・ひと（つ）","一度（いちど）・一覧（いちらん）・一切（いっさい）・統一（とういつ）・一生（いっしょう）","一","","","未校正",""
"右","1年","6級から","5","ウ・ユウ","みぎ","左右（さゆう）・右手（みぎて）・右派（うは）・右折（うせつ）・座右（ざゆう）","口","","","未校正",""
"雨","1年","6級から","8","ウ","あめ・あま","梅雨（つゆ）・大雨（おおあめ）・雨天（うてん）・降雨（こうう）・雨季（うき）","雨","","","未校正",""
"円","1年","6級から","4","エン","まる（い）","円周（えんしゅう）・円柱（えんちゅう）・円熟（えんじゅく）・一円（いちえん）・千円（せんえん）","冂","","","未校正","丸い"
"王","1年","6級から","4","オウ","","王子（おうじ）・仁王（におう）","王","玉","","未校正",""
"音","1年","6級から","9","オン・イン","おと・ね","音楽（おんがく）・録音（ろくおん）・発音（はつおん）・福音（ふくいん）・音色（ねいろ）","音","","","未校正",""
"下","1年","6級から","3","カ・ゲ","した・しも・もと・さ（げる）・さ（がる）・くだ（る）・くだ（す）・くだ（さる）・お（ろす）・お（りる）","地下（ちか）・上下（うえした）・落下（らっか）・下降（かこう）・下車（げしゃ）","一","","","未校正","元・本・基・提げる・卸す・降ろす・降りる"
"火","1年","6級から","4","カ","ひ・ほ","花火（はなび）・火災（かさい）・火薬（かやく）・点火（てんか）・火花（ひばな）","火","","","未校正","灯"
"花","1年","6級から","7","カ","はな","花火（はなび）・花束（はなたば）・花屋（はなや）・花園（はなぞの）・梨花（りか）","艹","艸","","未校正","華"
"貝","1年","6級から","7","","かい","貝細工（かいざいく）","貝","","","未校正",""
"学","1年","6級から","8","ガク","まな（ぶ）","大学（だいがく）・学校（がっこう）・科学（かがく）・学習（がくしゅう）・文学（ぶんがく）","子","","","未校正",""
"気","1年","6級から","6","キ・ケ","","元気（げんき）・電気（でんき）・病気（びょうき）・景気（けいき）・勇気（ゆうき）","气","","","未校正",""
"九","1年","6級から","2","キュウ・ク","ここの・ここの（つ）","九月（くがつ）・九重（ここのえ）・九日（ここのか）・九百（きゅうひゃく）・三拝九拝（さんぱいきゅうはい）","","","","未校正",""
"休","1年","6級から","6","キュウ","やす（む）・やす（まる）・やす（める）","休日（きゅうじつ）・休止（きゅうし）・定休（ていきゅう）・休養（きゅうよう）・休息（きゅうそく）","亻","人","","未校正",""
"玉","1年","6級から","5","ギョク","たま","埼玉（さいたま）・目玉（めだま）・玉座（ぎょくざ）・玉石（ぎょくせき）・埼玉県（さいたまけん）","玉","","","未校正","球・弾"
"金","1年","6級から","8","キン・コン","かね・かな","料金（りょうきん）・金額（きんがく）・税金（ぜいきん）・賃金（ちんぎん）・借金（しゃっきん）","金","","","未校正",""
"空","1年","6級から","8","クウ","そら・あ（く）・あ（ける）・から","空港（くうこう）・航空（こうくう）・青空（あおぞら）・上空（じょうくう）・空想（くうそう）","穴","","","未校正","開く・明く・開ける・明ける"
"月","1年","6級から","4","ゲツ・ガツ","つき","月曜日（げつようび）・正月（しょうがつ）・六月（ろくがつ）・九月（くがつ）・八月（はちがつ）","月","","","未校正",""
"犬","1年","6級から","4","ケン","いぬ","愛犬（あいけん）・犬歯（けんし）・野犬（やけん）","犬","","","未校正",""
"見","1年","6級から","7","ケン","み（る）・み（える）・み（せる）","意見（いけん）・見学（けんがく）・拝見（はいけん）・見地（けんち）・見聞（けんぶん）","見","","","未校正","診る"
"五","1年","6級から","4","ゴ","いつ・いつ（つ）","七五三（しちごさん）・五色（ごしき）・五割（ごわり）・五穀（ごこく）・五日（いつか）","","","","未校正",""
"口","1年","6級から","3","コウ・ク","くち","人口（じんこう）・窓口（まどぐち）・出口（でぐち）・口調（くちょう）・河口（かこう）","口","","","未校正",""
"校","1年","6級から","10","コウ","","学校（がっこう）・登校（とうこう）・校舎（こうしゃ）・将校（しょうこう）・校庭（こうてい）","木","","","未校正",""
"左","1年","6級から","5","サ","ひだり","左右（さゆう）","工","","","未校正",""
"三","1年","6級から","3","サン","み・みつ・みっ（つ）","第三者（だいさんしゃ）・三角（さんかく）・再三（さいさん）・三日月（みかづき）・三流（さんりゅう）","一","","","未校正",""
"山","1年","6級から","3","サン","やま","岡山（おかやま）・富山（とやま）・登山（とざん）・鉱山（こうざん）・山梨（やまなし）","山","","","未校正",""
"子","1年","6級から","3","シ・ス","こ","子供（こども）・様子（ようす）・女子（じょし）・男子（だんし）・親子（おやこ）","子","","","未校正",""
