"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"日本","にほん","6級から","","にほん / にっぽん","102","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"自分","じぶん","6級から","","","114","常用漢字表","校正不要"
"問題","もんだい","6級から","","","122","常用漢字表","校正不要"
"時間","じかん","6級から","","","163","常用漢字表","校正不要"
"場合","ばあい","6級から","","","167","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"必要","ひつよう","6級から","","","168","常用漢字表","校正不要"
"情報","じょうほう","6級から","","","170","常用漢字表","校正不要"
"今日","きょう","6級から","熟字訓","きょう / こんにち / こんち / こんじつ","201","常用漢字表（付表・熟字訓）","校正不要"
"関係","かんけい","6級から","","","203","常用漢字表","校正不要"
"委員","いいん","6級から","","","205","常用漢字表","校正不要"
"世界","せかい","6級から","","","211","常用漢字表","校正不要"
"社会","しゃかい","6級から","","","220","常用漢字表","校正不要"
"仕事","しごと","6級から","","","226","常用漢字表","校正不要"
"記事","きじ","6級から","","","229","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"意味","いみ","6級から","","","244","常用漢字表","校正不要"
"以上","いじょう","6級から","","","247","常用漢字表","校正不要"
"会社","かいしゃ","6級から","","","250","常用漢字表","校正不要"
"人間","にんげん","6級から","","にんげん / じんかん","258","常用漢字表","校正不要"
"現在","げんざい","6級から","","","264","常用漢字表","校正不要"
"可能","かのう","6級から","","","271","常用漢字表","校正不要"
"研究","けんきゅう","6級から","","","272","常用漢字表","校正不要"
"今回","こんかい","6級から","","","279","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"言葉","ことば","6級から","","","283","常用漢字表","校正不要"
"経済","けいざい","5級から","","","291","常用漢字表","校正不要"
"最近","さいきん","6級から","","","297","常用漢字表","校正不要"
"結果","けっか","6級から","","","298","常用漢字表","校正不要"
"映画","えいが","5級から","","","302","常用漢字表","校正不要"
"先生","せんせい","6級から","","せんせい / せんじょう / せんしょう","304","常用漢字表","校正不要"
"生活","せいかつ","6級から","","","305","常用漢字表","校正不要"
"時代","じだい","6級から","","","309","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"政府","せいふ","6級から","","","310","常用漢字表","校正不要"
"非常","ひじょう","6級から","","","311","常用漢字表","校正不要"
"内容","ないよう","6級から","","","318","常用漢字表","校正不要"
"説明","せつめい","6級から","","","324","常用漢字表","校正不要"
"写真","しゃしん","6級から","","","326","常用漢字表","校正不要"
"教育","きょういく","6級から","","","329","常用漢字表","校正不要"
"女性","じょせい","6級から","","じょせい / にょしょう","330","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"子供","こども","5級から","","","331","常用漢字表","校正不要"
"方法","ほうほう","6級から","","","332","常用漢字表","校正不要"
"利用","りよう","6級から","","","337","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"技術","ぎじゅつ","6級から","","","342","常用漢字表","校正不要"
"名前","なまえ","6級から","","","345","常用漢字表","校正不要"
"参加","さんか","6級から","","","346","常用漢字表","校正不要"
"活動","かつどう","6級から","","","357","常用漢字表","校正不要"
"東京","とうきょう","6級から","","とうきょう / とうけい","358","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"管理","かんり","6級から","","","365","常用漢字表","校正不要"
"地域","ちいき","5級から","","","371","常用漢字表","校正不要"
"実際","じっさい","6級から","","","375","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"中国","ちゅうごく","6級から","","ちゅうごく / ちゅうこく","376","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"個人","こじん","6級から","","","381","常用漢字表","校正不要"
"意見","いけん","6級から","","","382","常用漢字表","校正不要"
"状態","じょうたい","6級から","","","383","常用漢字表","校正不要"
"大学","だいがく","6級から","","","385","常用漢字表","校正不要"
"存在","そんざい","5級から","","","387","常用漢字表","校正不要"
"最後","さいご","6級から","","","388","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"理解","りかい","6級から","","","394","常用漢字表","校正不要"
"学校","がっこう","6級から","","","395","常用漢字表","校正不要"
"部分","ぶぶん","6級から","","","396","常用漢字表","校正不要"
"電話","でんわ","6級から","","","400","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"日記","にっき","6級から","","","407","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"制度","せいど","6級から","","","410","常用漢字表","校正不要"
"使用","しよう","6級から","","","411","常用漢字表","校正不要"
"事業","じぎょう","6級から","","","412","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"固定","こてい","6級から","","","416","常用漢字表","校正不要"
"調査","ちょうさ","6級から","","","417","常用漢字表","校正不要"
"基本","きほん","6級から","","","418","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"関連","かんれん","6級から","","","420","常用漢字表","校正不要"
"開発","かいはつ","6級から","","かいはつ / かいほつ","424","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"音楽","おんがく","6級から","","","426","常用漢字表","校正不要"
"一番","いちばん","6級から","","いちばん / ひとつがい","427","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"作品","さくひん","6級から","","","429","常用漢字表","校正不要"
"重要","じゅうよう","6級から","","","431","常用漢字表","校正不要"
"出来","しゅったい","6級から","","しゅったい / しゅつらい / でき","433","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"最初","さいしょ","6級から","","","435","常用漢字表","校正不要"
"国民","こくみん","6級から","","こくみん / くにたみ","438","常用漢字表","校正不要"
"事件","じけん","6級から","","","449","常用漢字表","校正不要"
"英語","えいご","6級から","","","450","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"質問","しつもん","6級から","","","452","常用漢字表","校正不要"
"主義","しゅぎ","6級から","","","460","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"理由","りゆう","6級から","","りゆう / わけ","465","常用漢字表","校正不要"
"場所","ばしょ","6級から","","","475","常用漢字表","校正不要"
"機能","きのう","6級から","","","476","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"労働","ろうどう","6級から","","","479","常用漢字表","校正不要"
"相手","あいて","6級から","","","484","常用漢字表","校正不要"
"国際","こくさい","6級から","","","485","常用漢字表","校正不要"
"自身","じしん","6級から","","","486","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"計画","けいかく","6級から","","","489","常用漢字表","校正不要"
"政治","せいじ","6級から","","","491","常用漢字表","校正不要"
"今後","こんご","6級から","","","503","常用漢字表","校正不要"
"文化","ぶんか","6級から","","","507","常用漢字表","校正不要"
"大変","たいへん","6級から","","","511","常用漢字表","校正不要"
"評価","ひょうか","6級から","","","514","常用漢字表","校正不要"
"対応","たいおう","6級から","","","516","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"自由","じゆう","6級から","","","522","常用漢字表","校正不要"
"昨日","きのう","6級から","熟字訓","きのう / さくじつ","525","常用漢字表（付表・熟字訓）","校正不要"
"歴史","れきし","6級から","","","530","常用漢字表","校正不要"
"全体","ぜんたい","6級から","","","531","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"報告","ほうこく","6級から","","","533","常用漢字表","校正不要"
"程度","ていど","6級から","","","534","常用漢字表","校正不要"
"予定","よてい","6級から","","","541","常用漢字表","校正不要"
"代表","だいひょう","6級から","","","542","常用漢字表","校正不要"
"経験","けいけん","6級から","","","545","常用漢字表","校正不要"
"以外","いがい","6級から","","","549","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"今年","ことし","6級から","熟字訓","ことし / こんねん","552","常用漢字表（付表・熟字訓）","校正不要"
