"熟語","いまの読み","出題級","出どころ","やること","確認結果（ここに書いてください）"
"受賞","じゅしょう","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"新潟","にいがた","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"宮崎","みやざき","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"長崎","ながさき","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"川崎","かわさき","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"熊本","くまもと","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"茨城","いばらき","6級から","常用漢字表（都道府県） + 固有名詞辞典｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"大賞","たいしょう","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"山梨","やまなし","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"賞賛","しょうさん","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"届出","とどけで","5級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"梨花","りか","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"小皿","こざら","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"小熊","こぐま","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
"大皿","おおざら","6級から","国語辞典(JMdict)｜要校正","この熟語と読みで合っていますか？　合っていれば「OK」、ちがえば正しい読みを書いてください",""
