"漢字","学年","画数","部首の候補","部首のもとの字","出どころ","正しい部首（ちがう場合だけ記入）","部首名（ひらがなで記入）"
"一","1年","1","一","","KanjiVGからの推定","",""
"右","1年","5","口","","KanjiVGからの推定","",""
"雨","1年","8","雨","","KanjiVGからの推定","",""
"円","1年","4","冂","","KanjiVGからの推定","",""
"王","1年","4","玉","","KanjiVGからの推定","",""
"音","1年","9","音","","KanjiVGからの推定","",""
"下","1年","3","一","","KanjiVGからの推定","",""
"火","1年","4","火","","KanjiVGからの推定","",""
"花","1年","7","艸","","KanjiVGからの推定","",""
"貝","1年","7","貝","","KanjiVGからの推定","",""
"学","1年","8","子","","KanjiVGからの推定","",""
"気","1年","6","气","","KanjiVGからの推定","",""
"九","1年","2","乙","","KanjiVGからの推定","",""
"休","1年","6","人","","KanjiVGからの推定","",""
"玉","1年","5","玉","","KanjiVGからの推定","",""
"金","1年","8","金","","KanjiVGからの推定","",""
"空","1年","8","穴","","KanjiVGからの推定","",""
"月","1年","4","月","","KanjiVGからの推定","",""
"犬","1年","4","犬","","KanjiVGからの推定","",""
"見","1年","7","見","","KanjiVGからの推定","",""
"五","1年","4","二","","KanjiVGからの推定","",""
"口","1年","3","口","","KanjiVGからの推定","",""
"校","1年","10","木","","KanjiVGからの推定","",""
"左","1年","5","工","","KanjiVGからの推定","",""
"三","1年","3","一","","KanjiVGからの推定","",""
"山","1年","3","山","","KanjiVGからの推定","",""
"子","1年","3","子","","KanjiVGからの推定","",""
"四","1年","5","囗","","KanjiVGからの推定","",""
"糸","1年","6","糸","","KanjiVGからの推定","",""
"字","1年","6","子","","KanjiVGからの推定","",""
"耳","1年","6","耳","","KanjiVGからの推定","",""
"七","1年","2","一","","KanjiVGからの推定","",""
"車","1年","7","車","","KanjiVGからの推定","",""
"手","1年","4","手","","KanjiVGからの推定","",""
"十","1年","2","十","","KanjiVGからの推定","",""
"出","1年","5","凵","","KanjiVGからの推定","",""
"女","1年","3","女","","KanjiVGからの推定","",""
"小","1年","3","小","","KanjiVGからの推定","",""
"上","1年","3","一","","KanjiVGからの推定","",""
"森","1年","12","木","","KanjiVGからの推定","",""
"人","1年","2","人","","KanjiVGからの推定","",""
"水","1年","4","水","","KanjiVGからの推定","",""
"正","1年","5","止","","KanjiVGからの推定","",""
"生","1年","5","生","","KanjiVGからの推定","",""
"青","1年","8","靑","","KanjiVGからの推定","",""
"夕","1年","3","夕","","KanjiVGからの推定","",""
"石","1年","5","石","","KanjiVGからの推定","",""
"赤","1年","7","赤","","KanjiVGからの推定","",""
"千","1年","3","十","","KanjiVGからの推定","",""
"川","1年","3","巛","","KanjiVGからの推定","",""
"先","1年","6","儿","","KanjiVGからの推定","",""
"早","1年","6","日","","KanjiVGからの推定","",""
"草","1年","9","艸","","KanjiVGからの推定","",""
"足","1年","7","足","","KanjiVGからの推定","",""
"村","1年","7","木","","KanjiVGからの推定","",""
"大","1年","3","大","","KanjiVGからの推定","",""
"男","1年","7","田","","KanjiVGからの推定","",""
"竹","1年","6","竹","","KanjiVGからの推定","",""
"中","1年","4","丨","","KanjiVGからの推定","",""
"虫","1年","6","虫","","KanjiVGからの推定","",""
"町","1年","7","田","","KanjiVGからの推定","",""
"天","1年","4","大","","KanjiVGからの推定","",""
"田","1年","5","田","","KanjiVGからの推定","",""
"土","1年","3","土","","KanjiVGからの推定","",""
"二","1年","2","二","","KanjiVGからの推定","",""
"日","1年","4","日","","KanjiVGからの推定","",""
"入","1年","2","入","","KanjiVGからの推定","",""
"年","1年","6","干","","KanjiVGからの推定","",""
"白","1年","5","白","","KanjiVGからの推定","",""
"八","1年","2","八","","KanjiVGからの推定","",""
"百","1年","6","白","","KanjiVGからの推定","",""
"文","1年","4","文","","KanjiVGからの推定","",""
"木","1年","4","木","","KanjiVGからの推定","",""
"本","1年","5","木","","KanjiVGからの推定","",""
"名","1年","6","口","","KanjiVGからの推定","",""
"目","1年","5","目","","KanjiVGからの推定","",""
"立","1年","5","立","","KanjiVGからの推定","",""
"力","1年","2","力","","KanjiVGからの推定","",""
"林","1年","8","木","","KanjiVGからの推定","",""
"六","1年","4","八","","KanjiVGからの推定","",""
"引","2年","4","弓","","KanjiVGからの推定","",""
"羽","2年","6","羽","","KanjiVGからの推定","",""
"雲","2年","12","雨","","KanjiVGからの推定","",""
"園","2年","13","囗","","KanjiVGからの推定","",""
"遠","2年","13","辵","","KanjiVGからの推定","",""
"何","2年","7","人","","KanjiVGからの推定","",""
"科","2年","9","禾","","KanjiVGからの推定","",""
"夏","2年","10","夂","","KanjiVGからの推定","",""
"家","2年","10","宀","","KanjiVGからの推定","",""
"歌","2年","14","欠","","KanjiVGからの推定","",""
"画","2年","8","田","","KanjiVGからの推定","",""
"回","2年","6","囗","","KanjiVGからの推定","",""
"会","2年","6","人","","KanjiVGからの推定","",""
"海","2年","9","水","","KanjiVGからの推定","",""
"絵","2年","12","糸","","KanjiVGからの推定","",""
"外","2年","5","夕","","KanjiVGからの推定","",""
"角","2年","7","角","","KanjiVGからの推定","",""
"楽","2年","13","木","","KanjiVGからの推定","",""
"活","2年","9","水","","KanjiVGからの推定","",""
"間","2年","12","門","","KanjiVGからの推定","",""
"丸","2年","3","丶","","KanjiVGからの推定","",""
"岩","2年","8","山","","KanjiVGからの推定","",""
"顔","2年","18","頁","","KanjiVGからの推定","",""
"汽","2年","7","水","","KanjiVGからの推定","",""
"記","2年","10","言","","KanjiVGからの推定","",""
"帰","2年","10","巾","","KanjiVGからの推定","",""
"弓","2年","3","弓","","KanjiVGからの推定","",""
"牛","2年","4","牛","","KanjiVGからの推定","",""
"魚","2年","11","魚","","KanjiVGからの推定","",""
"京","2年","8","亠","","KanjiVGからの推定","",""
"強","2年","11","弓","","KanjiVGからの推定","",""
"教","2年","11","攴","","KanjiVGからの推定","",""
"近","2年","7","辵","","KanjiVGからの推定","",""
"兄","2年","5","儿","","KanjiVGからの推定","",""
"形","2年","7","彡","","KanjiVGからの推定","",""
"計","2年","9","言","","KanjiVGからの推定","",""
"元","2年","4","儿","","KanjiVGからの推定","",""
