"熟語","読み","出題級","出どころ","承認","確認日","メモ"
"茨城","いばらき","6級から","常用漢字表（都道府県） + 固有名詞辞典","","",""
"宮崎","みやざき","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"熊本","くまもと","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"山梨","やまなし","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"受賞","じゅしょう","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"小熊","こぐま","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"小皿","こざら","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"賞賛","しょうさん","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"新潟","にいがた","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"川崎","かわさき","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"大皿","おおざら","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"大賞","たいしょう","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"長崎","ながさき","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
"届出","とどけで","5級から","国語辞典(JMdict)","","",""
"梨花","りか","6級から","国語辞典(JMdict)","OK","2026-08-29","保護者が確認（皿・潟・熊・崎・梨・賞を出題対象に入れる指示）"
